都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,384 ",187 ,56 ,"1,627 ","3,677 ","4,873 ","8,550 ","1,209 ",742 ,121 ,0 ,"2,073 ",154 ,"12,404 "
01,北海道,01202,函館市,388 ,23 ,27 ,438 ,444 ,639 ,"1,082 ",201 ,123 ,16 ,224 ,564 ,38 ,"2,123 "
01,北海道,01203,小樽市,355 ,7 ,6 ,369 ,189 ,283 ,471 ,71 ,59 ,7 ,58 ,195 ,10 ,"1,045 "
01,北海道,01204,旭川市,464 ,33 ,46 ,544 ,582 ,804 ,"1,385 ",270 ,190 ,21 ,0 ,480 ,14 ,"2,423 "
01,北海道,01205,室蘭市,726 ,14 ,2 ,742 ,140 ,204 ,344 ,67 ,42 ,5 ,36 ,149 ,11 ,"1,246 "
01,北海道,01206,釧路市,504 ,16 ,30 ,550 ,281 ,425 ,706 ,147 ,122 ,10 ,68 ,346 ,15 ,"1,617 "
01,北海道,01207,帯広市,275 ,20 ,63 ,358 ,328 ,402 ,730 ,157 ,129 ,10 ,0 ,296 ,11 ,"1,395 "
01,北海道,01208,北見市,135 ,14 ,67 ,215 ,200 ,279 ,478 ,106 ,105 ,7 ,0 ,218 ,10 ,921 
01,北海道,01209,夕張市,12 ,1 ,2 ,15 ,9 ,20 ,29 ,6 ,5 ,0 ,0 ,12 ,0 ,55 
01,北海道,01210,岩見沢市,175 ,8 ,46 ,229 ,121 ,187 ,308 ,65 ,63 ,5 ,0 ,133 ,11 ,682 
01,北海道,01211,網走市,111 ,3 ,40 ,155 ,61 ,82 ,144 ,32 ,33 ,2 ,4 ,71 ,0 ,370 
01,北海道,01212,留萌市,19 ,3 ,5 ,27 ,38 ,51 ,89 ,16 ,16 ,1 ,5 ,38 ,0 ,153 
01,北海道,01213,苫小牧市,"2,162 ",23 ,24 ,"2,209 ",280 ,406 ,686 ,153 ,176 ,11 ,201 ,541 ,18 ,"3,454 "
