都道府県,排出量合計
東京都,60937.0
愛知県,60637.0
千葉県,59600.0
神奈川県,55049.0
北海道,45729.0
兵庫県,45279.0
大阪府,41441.0
広島県,39465.0
福岡県,36156.0
岡山県,34800.0
埼玉県,33192.0
茨城県,32796.0
大分県,24923.0
山口県,24711.0
静岡県,23649.0
三重県,20210.0
新潟県,16898.0
愛媛県,16643.0
宮城県,15446.0
栃木県,13797.0
岐阜県,13511.0
福島県,13216.0
群馬県,12963.0
長野県,12860.0
京都府,11984.0
和歌山県,11863.0
青森県,11078.0
熊本県,9979.0
鹿児島県,9648.0
岩手県,9617.0
滋賀県,8962.0
沖縄県,8884.0
富山県,8869.0
香川県,8789.0
宮崎県,7741.0
石川県,7521.0
秋田県,7174.0
山形県,7003.0
長崎県,6982.0
福井県,6420.0
徳島県,5956.0
高知県,5714.0
島根県,5395.0
奈良県,5205.0
佐賀県,5116.0
山梨県,5052.0
鳥取県,3581.0
